Miraidon ex,2,Pokemon,SVI,252
Iron Hands ex,2,Pokemon,PAR,223
Magnemite,1,Pokemon,SVI,63
Magneton,1,Pokemon,SVP,159
Raikou V,1,Pokemon,CRZ,GG41
Raichu V,1,Pokemon,BRS,158
Rotom V,1,Pokemon,LOR,177
Squawkabilly ex,1,Pokemon,PAF,223
Fezandipiti ex,1,Pokemon,SFA,38
Lumineon V,1,Pokemon,CRZ,GG39
Iron Bundle,1,Pokemon,SVP,58
Mew ex,1,Pokemon,MEW,205
Bloodmoon Ursaluna ex,1,Pokemon,TWM,202
Arven,4,Supporter,,
Boss's Orders,3,Supporter,,
Professor's Research,1,Supporter,,
Nest Ball,4,Item,,
Ultra Ball,3,Item,,
Hisuian Heavy Ball,1,Item,,
Electric Generator,4,Item,,
Switch Cart,2,Item,,
Super Rod,1,Item,,
Counter Catcher,1,Item,,
Prime Catcher - ACESPEC,1,Item,,
Forest Seal Stone,1,Tool,,
Bravery Charm,1,Tool,,
Rescue Board,1,Tool,,
Defiance Band,1,Tool,,
Basic Lightning Energy,15,Energy,,
Double Turbo Energy,1,Energy,,
