Rotom V,1,Pokemon,LOR,176
Radiant Charizard,1,Pokemon,CRZ,20
Cleffa,1,Pokemon,OBF,202
Duskull,2,Pokemon,CRZ,GG28
Dusclops,1,Pokemon,SFA,69
Dusknoir,1,Pokemon,SFA,70
Pidgey,1,Pokemon,MEW,16
Pidgey,1,Pokemon,PAF,196
Pidgeotto,1,Pokemon,MEW,17
Pidgeot,2,Pokemon,PAF,221
Charmander,1,Pokemon,MEW,168
Charmander,2,Pokemon,SVP,44
Charmeleon,1,Pokemon,PAF,4
Charmeleon,1,Pokemon,PAF,110
Charizard ex,2,Pokemon,OBF,228
Lumineon V,1,Pokemon,BRS,155
Manaphy,1,Pokemon,CRZ,GG6
Boss's Orders,2,Supporter,,
Arven,3,Supporter,,
Iono,2,Supporter,,
Eri,1,Supporter,,
Roxanne,1,Supporter,,
Professor Turo's Scenario,1,Supporter,,
Rare Candy,4,Item,,
Lost Vacuum,2,Item,,
Super Rod,2,Item,,
Nest Ball,2,Item,,
Buddy-Buddy Poffin,4,Item,,
Ultra Ball,4,Item,,
Prime Catcher - ACESPEC,1,Item,,
Counter Catcher,1,Item,,
Forest Seal Stone,1,Tool,,
Collapsed Stadium,1,Stadium,,
Basic Fire Energy,7,Energy,,
