Raging Bolt ex TEF 123,4,Pokemon,,
Teal Mask Ogerpon ex TWM 25,3,Pokemon,,
Radiant Greninja ASR 46,1,Pokemon,,
Squawkabilly ex PAL 169,1,Pokemon,,
Fezandipiti ex SFA 38,1,Pokemon,,
Slither Wing PAR 107,1,Pokemon,,
Iron Bundle PAR 56,1,Pokemon,,
Professor Sada's Vitality PAR 170,4,Trainer,,
Iono PAL 185,1,Trainer,,
Briar SCR 132,1,Trainer,,
Earthen Vessel PAR 163,4,Trainer,,
Nest Ball SVI 181,4,Trainer,,
Energy Retrieval SVI 171,3,Trainer,,
Pokemon Catcher SVI 187,3,Trainer,,
Switch Cart ASR 154,2,Trainer,,
Ultra Ball SVI 196,2,Trainer,,
Night Stretcher SFA 61,2,Trainer,,
Trekking Shoes ASR 156,2,Trainer,,
Pokegear 3.0 SVI 186,2,Trainer,,
Prime Catcher TEF 157,1,Trainer,,
Lost Vacuum LOR 162,1,Trainer,,
Pal Pad SVI 182,1,Trainer,,
Bravery Charm PAL 173,2,Trainer,,
PokeStop PGO 68,2,Trainer,,
Grass Energy SVE 9,5,Energy,,
Lightning Energy SVE 12,3,Energy,,
Fighting Energy SVE 14,3,Energy,,
