Comfey,4,Pokemon,CRZ,GG14
Bloodmoon Ursaluna ex,1,Pokemon,TWM,202
Iron Hands ex,1,Pokemon,PAR,223
Pikachu ex,1,Pokemon,SSP,57
Cramorant,1,Pokemon,LOR,50
Sableye,1,Pokemon,LOR,70
Radiant Greninja,1,Pokemon,ASR,46
Regigigas,1,Pokemon,PRE,86
Budew,1,Pokemon,PRE,4
Colress's Experiment,4,Suppoter,,
Boss's Orders,1,Suppoter,,
Roxanne,1,Suppoter,,
Kieran,1,Supporter,,
Mirage Gate,4,Item,,
Buddy-Buddy Poffin,3,Item,,
Nest Ball,4,Item,,
Super Rod,4,Item,,
Lost Vacuum,2,Item,,
Switch,3,Item,,
Switch Cart,4,Item,,
Night Stretcher,1,Item,,
Pal Pad,1,Item,,
Hisuian Heavy Ball,1,Item,,
Prime Catcher - ACESPEC,1,Item,,
Rescue Board,1,Tool,,
Pokestop,3,Stadium,,
Basic Psychic Energy,1,Energy,,
Basic Metal Energy,1,Energy,,
Basic Lightning Energy,2,Energy,,
Basic Grass Energy,2,Energy,,
Basic Water Energy,3,Energy,,
